Tabela Resultados 1
;Operador ;Diâmetro;Comprimento;Comprimento final
;;(mm);(mm);(mm)
3;"Operador ";"8,40";"50,00";"58,90"
Tempo;Deslocamento;Força;Deformação à tração (Extensômetro)
(s);(mm);(kN);(%)
"0,0000";"0,0000";"0,0004";"-0,0006"
"0,0500";"0,0000";"0,0007";"-0,0003"
"0,1000";"0,0001";"0,0004";"-0,0006"
"0,1500";"0,0004";"0,0006";"-0,0003"
"0,2000";"0,0011";"0,0031";"-0,0003"
"0,2500";"0,0022";"0,0070";"-0,0005"
"0,3000";"0,0038";"0,0109";"-0,0008"
"0,3500";"0,0051";"0,0135";"-0,0014"
"0,4000";"0,0062";"0,0177";"-0,0014"
"0,4500";"0,0074";"0,0219";"-0,0016"
"0,5000";"0,0082";"0,0235";"-0,0018"
"0,5500";"0,0089";"0,0246";"-0,0013"
"0,6000";"0,0099";"0,0263";"-0,0019"
"0,6500";"0,0110";"0,0279";"-0,0015"
"0,7000";"0,0116";"0,0270";"-0,0015"
"0,7500";"0,0123";"0,0282";"-0,0015"
"0,8000";"0,0132";"0,0295";"-0,0012"
"0,8500";"0,0143";"0,0309";"-0,0016"
"0,9000";"0,0150";"0,0317";"-0,0014"
"0,9500";"0,0157";"0,0321";"-0,0011"
"1,0000";"0,0165";"0,0331";"-0,0013"
"1,0500";"0,0176";"0,0345";"-0,0011"
"1,1000";"0,0185";"0,0351";"-0,0006"
"1,1500";"0,0191";"0,0356";"-0,0008"
"1,2000";"0,0199";"0,0365";"-0,0006"
"1,2500";"0,0209";"0,0381";"-0,0006"
"1,3000";"0,0218";"0,0395";"-0,0005"
"1,3500";"0,0224";"0,0398";"-0,0005"
"1,4000";"0,0232";"0,0405";"-0,0004"
"1,4500";"0,0242";"0,0416";"-0,0006"
"1,5000";"0,0252";"0,0424";"-0,0003"
"1,5500";"0,0258";"0,0430";"-0,0006"
"1,6000";"0,0265";"0,0435";"-0,0002"
"1,6500";"0,0275";"0,0442";"-0,0003"
"1,7000";"0,0285";"0,0457";"0,0001"
"1,7500";"0,0292";"0,0456";"-0,0004"
"1,8000";"0,0298";"0,0461";"0,0002"
"1,8500";"0,0307";"0,0456";"-0,0002"
"1,9000";"0,0318";"0,0467";"0,0001"
"1,9500";"0,0325";"0,0469";"0,0000"
"2,0000";"0,0332";"0,0473";"0,0003"
"2,0500";"0,0340";"0,0479";"-0,0001"
"2,1000";"0,0351";"0,0486";"0,0002"
"2,1500";"0,0359";"0,0493";"0,0003"
"2,2000";"0,0366";"0,0490";"0,0005"
"2,2500";"0,0373";"0,0499";"0,0004"
"2,3000";"0,0384";"0,0508";"0,0006"
"2,3500";"0,0393";"0,0509";"0,0006"
"2,4000";"0,0399";"0,0511";"0,0009"
"2,4500";"0,0406";"0,0514";"0,0004"
