Tabela Resultados 1
;Operador ;Diâmetro;Comprimento;Comprimento final
;;(mm);(mm);(mm)
2;"Operador ";"8,30";"50,00";"65,10"
Tempo;Deslocamento;Força;Deformação à tração (Extensômetro)
(s);(mm);(kN);(%)
"0,0000";"0,0000";"0,0015";"0,0000"
"0,0500";"0,0001";"0,0017";"-0,0004"
"0,1000";"0,0003";"0,0024";"-0,0002"
"0,1500";"0,0009";"0,0017";"-0,0002"
"0,2000";"0,0019";"0,0023";"-0,0002"
"0,2500";"0,0029";"0,0022";"0,0000"
"0,3000";"0,0040";"0,0089";"-0,0002"
"0,3500";"0,0052";"0,0265";"0,0001"
"0,4000";"0,0060";"0,0424";"0,0004"
"0,4500";"0,0070";"0,0545";"0,0005"
"0,5000";"0,0081";"0,0696";"0,0007"
"0,5500";"0,0090";"0,0838";"0,0007"
"0,6000";"0,0097";"0,0935";"0,0008"
"0,6500";"0,0105";"0,1028";"0,0009"
"0,7000";"0,0116";"0,1157";"0,0012"
"0,7500";"0,0125";"0,1283";"0,0012"
"0,8000";"0,0131";"0,1359";"0,0012"
"0,8500";"0,0139";"0,1434";"0,0013"
"0,9000";"0,0150";"0,1532";"0,0013"
"0,9500";"0,0159";"0,1649";"0,0018"
"1,0000";"0,0165";"0,1720";"0,0015"
"1,0500";"0,0173";"0,1776";"0,0020"
"1,1000";"0,0183";"0,1860";"0,0017"
"1,1500";"0,0193";"0,1964";"0,0018"
"1,2000";"0,0200";"0,2025";"0,0021"
"1,2500";"0,0207";"0,2080";"0,0020"
"1,3000";"0,0218";"0,2154";"0,0023"
"1,3500";"0,0227";"0,2255";"0,0020"
"1,4000";"0,0234";"0,2307";"0,0021"
"1,4500";"0,0241";"0,2344";"0,0024"
"1,5000";"0,0251";"0,2414";"0,0020"
"1,5500";"0,0261";"0,2508";"0,0026"
"1,6000";"0,0268";"0,2569";"0,0023"
"1,6500";"0,0275";"0,2610";"0,0025"
"1,7000";"0,0283";"0,2668";"0,0025"
"1,7500";"0,0294";"0,2760";"0,0026"
"1,8000";"0,0301";"0,2821";"0,0026"
"1,8500";"0,0308";"0,2852";"0,0024"
"1,9000";"0,0316";"0,2892";"0,0028"
"1,9500";"0,0327";"0,2967";"0,0027"
"2,0000";"0,0335";"0,3036";"0,0029"
"2,0500";"0,0341";"0,3053";"0,0028"
"2,1000";"0,0349";"0,3082";"0,0027"
"2,1500";"0,0359";"0,3154";"0,0029"
"2,2000";"0,0369";"0,3229";"0,0028"
"2,2500";"0,0375";"0,3256";"0,0030"
"2,3000";"0,0382";"0,3274";"0,0027"
"2,3500";"0,0392";"0,3324";"0,0028"
"2,4000";"0,0402";"0,3397";"0,0031"
"2,4500";"0,0408";"0,3429";"0,0029"
"2,5000";"0,0416";"0,3430";"0,0030"
"2,5500";"0,0425";"0,3472";"0,0029"
"2,6000";"0,0435";"0,3543";"0,0031"
"2,6500";"0,0443";"0,3581";"0,0030"
"2,7000";"0,0449";"0,3586";"0,0029"
"2,7500";"0,0458";"0,3611";"0,0031"
"2,8000";"0,0468";"0,3679";"0,0030"
"2,8500";"0,0476";"0,3729";"0,0032"
"2,9000";"0,0483";"0,3731";"0,0031"
"2,9500";"0,0491";"0,3750";"0,0029"
"3,0000";"0,0502";"0,3798";"0,0030"
"3,0500";"0,0510";"0,3852";"0,0029"
"3,1000";"0,0517";"0,3859";"0,0034"
"3,1500";"0,0525";"0,3869";"0,0031"
"3,2000";"0,0535";"0,3921";"0,0031"
"3,2500";"0,0544";"0,3975";"0,0033"
"3,3000";"0,0551";"0,3983";"0,0031"
"3,3500";"0,0558";"0,3983";"0,0030"
"3,4000";"0,0568";"0,4025";"0,0032"
"3,4500";"0,0578";"0,4092";"0,0031"
"3,5000";"0,0585";"0,4101";"0,0031"
"3,5500";"0,0591";"0,4094";"0,0031"
"3,6000";"0,0601";"0,4125";"0,0034"
"3,6500";"0,0611";"0,4187";"0,0031"
"3,7000";"0,0618";"0,4216";"0,0033"
"3,7500";"0,0625";"0,4211";"0,0031"
"3,8000";"0,0633";"0,4225";"0,0031"
"3,8500";"0,0644";"0,4284";"0,0033"
"3,9000";"0,0651";"0,4323";"0,0029"
"3,9500";"0,0658";"0,4324";"0,0032"
"4,0000";"0,0666";"0,4337";"0,0033"
"4,0500";"0,0677";"0,4381";"0,0035"
"4,1000";"0,0685";"0,4431";"0,0031"
"4,1500";"0,0691";"0,4425";"0,0033"
"4,2000";"0,0698";"0,4429";"0,0034"
"4,2500";"0,0709";"0,4475";"0,0031"
"4,3000";"0,0718";"0,4530";"0,0032"
"4,3500";"0,0725";"0,4540";"0,0031"
"4,4000";"0,0733";"0,4543";"0,0034"
"4,4500";"0,0742";"0,4579";"0,0032"
"4,5000";"0,0752";"0,4639";"0,0033"
"4,5500";"0,0759";"0,4643";"0,0032"
"4,6000";"0,0766";"0,4633";"0,0031"
"4,6500";"0,0775";"0,4665";"0,0032"
"4,7000";"0,0785";"0,4726";"0,0034"
"4,7500";"0,0793";"0,4755";"0,0033"
"4,8000";"0,0799";"0,4746";"0,0032"
"4,8500";"0,0809";"0,4764";"0,0030"
"4,9000";"0,0819";"0,4822";"0,0034"
"4,9500";"0,0827";"0,4864";"0,0032"
"5,0000";"0,0833";"0,4857";"0,0034"
"5,0500";"0,0841";"0,4856";"0,0033"
"5,1000";"0,0852";"0,4904";"0,0031"
"5,1500";"0,0861";"0,4951";"0,0033"
"5,2000";"0,0867";"0,4954";"0,0031"
"5,2500";"0,0875";"0,4956";"0,0033"
"5,3000";"0,0885";"0,4998";"0,0032"
"5,3500";"0,0894";"0,5051";"0,0036"
"5,4000";"0,0901";"0,5055";"0,0033"
"5,4500";"0,0908";"0,5049";"0,0033"
"5,5000";"0,0918";"0,5084";"0,0032"
"5,5500";"0,0927";"0,5142";"0,0033"
"5,6000";"0,0935";"0,5152";"0,0034"
"5,6500";"0,0941";"0,5145";"0,0034"
"5,7000";"0,0950";"0,5167";"0,0032"
"5,7500";"0,0961";"0,5225";"0,0034"
"5,8000";"0,0968";"0,5254";"0,0033"
"5,8500";"0,0975";"0,5248";"0,0032"
"5,9000";"0,0983";"0,5261";"0,0031"
"5,9500";"0,0993";"0,5314";"0,0036"
"6,0000";"0,1001";"0,5356";"0,0033"
"6,0500";"0,1008";"0,5354";"0,0032"
"6,1000";"0,1015";"0,5352";"0,0034"
"6,1500";"0,1026";"0,5387";"0,0032"
"6,2000";"0,1035";"0,5446";"0,0035"
"6,2500";"0,1042";"0,5451";"0,0034"
"6,3000";"0,1049";"0,5448";"0,0033"
"6,3500";"0,1059";"0,5486";"0,0035"
"6,4000";"0,1069";"0,5535";"0,0034"
"6,4500";"0,1075";"0,5549";"0,0034"
"6,5000";"0,1082";"0,5542";"0,0033"
"6,5500";"0,1091";"0,5570";"0,0034"
"6,6000";"0,1102";"0,5629";"0,0033"
"6,6500";"0,1109";"0,5651";"0,0034"
"6,7000";"0,1116";"0,5641";"0,0035"
"6,7500";"0,1125";"0,5662";"0,0031"
"6,8000";"0,1136";"0,5718";"0,0037"
"6,8500";"0,1144";"0,5753";"0,0031"
"6,9000";"0,1150";"0,5742";"0,0034"
"6,9500";"0,1158";"0,5753";"0,0034"
"7,0000";"0,1168";"0,5802";"0,0032"
"7,0500";"0,1177";"0,5845";"0,0035"
"7,1000";"0,1184";"0,5845";"0,0032"
"7,1500";"0,1192";"0,5848";"0,0036"
"7,2000";"0,1201";"0,5890";"0,0032"
"7,2500";"0,1211";"0,5929";"0,0034"
"7,3000";"0,1217";"0,5935";"0,0033"
"7,3500";"0,1224";"0,5931";"0,0033"
"7,4000";"0,1234";"0,5965";"0,0033"
"7,4500";"0,1244";"0,6022";"0,0035"
"7,5000";"0,1251";"0,6034";"0,0034"
"7,5500";"0,1258";"0,6031";"0,0033"
"7,6000";"0,1267";"0,6050";"0,0033"
"7,6500";"0,1277";"0,6106";"0,0034"
"7,7000";"0,1285";"0,6135";"0,0034"
"7,7500";"0,1291";"0,6125";"0,0035"
"7,8000";"0,1300";"0,6137";"0,0035"
"7,8500";"0,1310";"0,6189";"0,0036"
"7,9000";"0,1318";"0,6229";"0,0033"
"7,9500";"0,1325";"0,6221";"0,0034"
"8,0000";"0,1332";"0,6230";"0,0034"
"8,0500";"0,1343";"0,6274";"0,0034"
"8,1000";"0,1352";"0,6327";"0,0035"
"8,1500";"0,1359";"0,6326";"0,0031"
"8,2000";"0,1366";"0,6330";"0,0035"
"8,2500";"0,1375";"0,6363";"0,0035"
"8,3000";"0,1385";"0,6408";"0,0032"
"8,3500";"0,1392";"0,6417";"0,0036"
"8,4000";"0,1399";"0,6413";"0,0032"
"8,4500";"0,1408";"0,6441";"0,0034"
"8,5000";"0,1419";"0,6499";"0,0033"
"8,5500";"0,1426";"0,6527";"0,0034"
"8,6000";"0,1433";"0,6521";"0,0034"
"8,6500";"0,1442";"0,6538";"0,0034"
"8,7000";"0,1452";"0,6595";"0,0036"
"8,7500";"0,1460";"0,6626";"0,0033"
"8,8000";"0,1467";"0,6620";"0,0037"
"8,8500";"0,1475";"0,6618";"0,0033"
"8,9000";"0,1485";"0,6667";"0,0036"
"8,9500";"0,1494";"0,6717";"0,0035"
"9,0000";"0,1501";"0,6714";"0,0032"
"9,0500";"0,1509";"0,6715";"0,0035"
"9,1000";"0,1518";"0,6758";"0,0035"
"9,1500";"0,1528";"0,6810";"0,0036"
